name,category,price,quality
Warrior Quest,Simulación,57351,11
Kingdom Legends,Deportes,65562,28
Warrior Fantasy,Aventura,66781,53
Empire Kingdom,RPG,21512,78
Kingdom Chronicles,Estrategia,56155,82
Dragon Kingdom,Deportes,52397,33
Chronicles Warrior,Deportes,36338,36
Galaxy Fantasy,Puzzle,47415,27
Chronicles Legends,Estrategia,4363,66
Kingdom Fantasy,Estrategia,63331,51
Warrior Galaxy,Deportes,64418,95
Kingdom Dragon,Aventura,35973,69
Chronicles Dragon,Puzzle,14928,95
Heroes Dragon,Simulación,37397,9
Dragon Kingdom,Aventura,14995,65
Dragon Chronicles,Deportes,54107,42
Heroes Empire,Deportes,52776,5
Chronicles Fantasy,Acción,58446,83
Fantasy Kingdom,Estrategia,46995,57
Kingdom Chronicles,Acción,3877,7
Legends Kingdom,RPG,37865,34
Dragon Heroes,Deportes,21159,28
Chronicles Kingdom,Simulación,68731,65
Dragon Heroes,Simulación,16963,45
Kingdom Legends,Deportes,48004,68
Heroes Kingdom,Carreras,35794,84
Kingdom Fantasy,Carreras,51322,70
Chronicles Galaxy,Deportes,50394,83
Fantasy Fantasy,Deportes,19715,17
Chronicles Chronicles,Acción,47716,60
Quest Heroes,Estrategia,57235,4
Legends Legends,Aventura,20860,19
Chronicles Chronicles,Simulación,22498,98
Dragon Quest,RPG,41625,93
Empire Quest,Deportes,23407,51
Galaxy Galaxy,Deportes,48656,88
Empire Galaxy,Puzzle,47373,20
Chronicles Quest,Aventura,37144,98
Dragon Legends,Puzzle,19986,37
Kingdom Kingdom,RPG,21189,39
Warrior Fantasy,Acción,63465,100
Galaxy Empire,Aventura,47346,8
Dragon Quest,Estrategia,21370,68
Fantasy Kingdom,Acción,47441,74
Empire Chronicles,Carreras,59426,52
Chronicles Chronicles,Acción,11404,26
Galaxy Dragon,Aventura,13165,61
Dragon Quest,RPG,27551,66
Heroes Legends,Acción,31583,39
Galaxy Quest,Simulación,46644,56
Galaxy Fantasy,Acción,16613,59
Heroes Warrior,Acción,69458,27
Quest Dragon,RPG,13467,15
Empire Kingdom,Simulación,276,29
Heroes Quest,Simulación,23690,100
Kingdom Quest,Estrategia,63290,65
Fantasy Galaxy,Acción,4578,89
Heroes Chronicles,Estrategia,26481,5
Warrior Kingdom,RPG,38036,64
Galaxy Chronicles,Deportes,17692,80
Chronicles Quest,Deportes,11502,40
Dragon Fantasy,RPG,67055,76
Kingdom Quest,RPG,64269,55
Kingdom Chronicles,Puzzle,11985,47
Dragon Dragon,Estrategia,42570,94
Fantasy Dragon,Simulación,41472,79
Dragon Heroes,Aventura,10589,16
Fantasy Kingdom,Acción,39627,48
Fantasy Legends,Deportes,20132,2
Fantasy Dragon,RPG,19768,59
Quest Galaxy,RPG,1861,13
Legends Galaxy,Puzzle,4475,97
Dragon Heroes,RPG,53082,24
Dragon Empire,Aventura,3210,91
Warrior Legends,RPG,51939,73
Fantasy Chronicles,Puzzle,7303,90
Kingdom Warrior,RPG,56197,21
Galaxy Warrior,Acción,32241,47
Warrior Kingdom,Estrategia,36302,94
Warrior Warrior,RPG,13936,22
Fantasy Kingdom,Deportes,67934,88
Dragon Kingdom,Deportes,50179,77
Chronicles Legends,Estrategia,53062,7
Kingdom Heroes,Puzzle,25453,73
Dragon Quest,Acción,31302,62
Empire Chronicles,Aventura,61206,59
Empire Quest,RPG,3856,40
Chronicles Galaxy,Aventura,49181,1
Empire Heroes,Carreras,41791,69
Legends Heroes,Deportes,37066,33
Quest Quest,Acción,34078,0
Empire Heroes,Deportes,28234,47
Heroes Quest,Puzzle,36466,55
Warrior Heroes,RPG,25447,6
Heroes Warrior,Aventura,20647,80
Legends Fantasy,Estrategia,24474,1
Fantasy Empire,Deportes,19334,17
Kingdom Fantasy,Carreras,35985,95
Warrior Kingdom,Estrategia,54923,80
Galaxy Empire,Aventura,35539,34
Chronicles Warrior,Estrategia,8378,87
Chronicles Warrior,Simulación,68011,30
Kingdom Quest,Simulación,51048,77
Legends Quest,Deportes,38842,87
Dragon Empire,Acción,33244,52
Warrior Chronicles,Aventura,22236,42
Dragon Heroes,Simulación,33463,84
Kingdom Chronicles,Estrategia,21360,90
Fantasy Fantasy,RPG,4260,37
Heroes Chronicles,RPG,3427,66
Chronicles Kingdom,Acción,31397,14
Chronicles Fantasy,Carreras,62526,63
Heroes Warrior,Deportes,67407,79
Fantasy Dragon,Acción,52854,2
Chronicles Warrior,RPG,61156,4
Dragon Warrior,Simulación,49081,27
Kingdom Chronicles,Deportes,8385,17
Empire Warrior,Puzzle,62249,83
Fantasy Legends,Deportes,3346,63
Warrior Fantasy,Puzzle,50727,87
Quest Heroes,Acción,3773,71
Kingdom Legends,Estrategia,31419,55
Warrior Heroes,Deportes,34827,94
Chronicles Kingdom,Simulación,48992,90
Kingdom Quest,Acción,42141,79
Chronicles Dragon,Aventura,59815,56
Fantasy Warrior,Deportes,26202,25
Empire Fantasy,Simulación,24121,32
Fantasy Chronicles,Simulación,20900,52
Kingdom Kingdom,RPG,20735,90
Dragon Legends,Estrategia,41320,29
Galaxy Empire,Acción,59642,3
Galaxy Dragon,Deportes,66356,44
Kingdom Dragon,Puzzle,8438,85
Galaxy Kingdom,Aventura,24971,53
Kingdom Galaxy,RPG,947,11
Warrior Galaxy,Simulación,10725,39
Chronicles Warrior,Simulación,52209,39
Dragon Quest,RPG,14191,4
Warrior Quest,Acción,24232,23
Dragon Chronicles,Simulación,2415,0
Kingdom Warrior,Estrategia,11627,5
Quest Fantasy,RPG,26305,12
Empire Warrior,Carreras,36644,71
Warrior Dragon,Estrategia,46387,21
Galaxy Empire,Puzzle,18298,79
Fantasy Kingdom,Acción,66351,3
Legends Heroes,Acción,10670,13
Empire Legends,Simulación,12726,27
Dragon Heroes,RPG,27569,92
Quest Warrior,Simulación,19812,7
Dragon Legends,Puzzle,15605,91
Warrior Dragon,Deportes,48380,6
Dragon Galaxy,Acción,5474,45
Heroes Fantasy,Carreras,57412,38
Kingdom Dragon,Aventura,17721,19
Legends Dragon,RPG,49535,94
Legends Chronicles,Estrategia,31622,59
Legends Empire,Deportes,29463,46
Legends Legends,RPG,26145,10
Chronicles Empire,Puzzle,2571,15
Empire Heroes,Simulación,3647,42
Dragon Legends,Acción,268,29
Empire Galaxy,Estrategia,51303,46
Quest Legends,RPG,69112,13
Kingdom Empire,Puzzle,20082,92
Heroes Empire,Aventura,24968,34
Galaxy Quest,RPG,1419,69
Empire Warrior,Acción,1458,24
Empire Heroes,RPG,8696,51
Warrior Galaxy,RPG,12506,80
Dragon Dragon,Aventura,40022,3
Dragon Fantasy,Deportes,19563,37
Galaxy Warrior,RPG,37753,96
Galaxy Quest,Puzzle,57171,22
Quest Chronicles,Carreras,60091,67
Fantasy Warrior,Simulación,28764,11
Empire Empire,Simulación,49290,30
Kingdom Legends,Estrategia,67080,26
Dragon Heroes,Estrategia,11599,48
Legends Legends,Estrategia,67034,76
Fantasy Empire,Acción,16345,23
Empire Warrior,Estrategia,19454,54
Chronicles Kingdom,Estrategia,64110,30
Warrior Empire,Deportes,67434,2
Heroes Legends,Estrategia,13792,16
Galaxy Dragon,Puzzle,6775,93
Dragon Heroes,Puzzle,14514,56
Heroes Dragon,Estrategia,46773,16
Chronicles Fantasy,RPG,63352,73
Galaxy Galaxy,Estrategia,32522,17
Galaxy Galaxy,Carreras,58207,27
Chronicles Galaxy,Carreras,28837,18
Chronicles Galaxy,Carreras,19726,24
Fantasy Heroes,Puzzle,59825,87
Legends Legends,Acción,41455,24
Quest Chronicles,Simulación,32918,5
Dragon Warrior,Simulación,44237,84
Kingdom Warrior,Estrategia,6724,12
Heroes Galaxy,Estrategia,69099,80
Legends Kingdom,Aventura,1342,57
Warrior Dragon,Estrategia,45282,50
Fantasy Dragon,Deportes,64414,55
Warrior Galaxy,Puzzle,39589,75
Galaxy Quest,Estrategia,40627,90
Quest Kingdom,Carreras,43634,75
Galaxy Galaxy,Estrategia,30461,1
Dragon Kingdom,Deportes,44850,61
Chronicles Chronicles,Puzzle,8100,38
Warrior Chronicles,Acción,54110,28
Galaxy Galaxy,Simulación,32889,44
Galaxy Galaxy,RPG,49124,31
Heroes Fantasy,Puzzle,1828,9
Heroes Fantasy,Estrategia,58842,67
Dragon Empire,Estrategia,63411,10
Galaxy Warrior,Simulación,31755,95
Empire Warrior,Deportes,57345,86
Kingdom Kingdom,Puzzle,45926,23
Galaxy Galaxy,RPG,5105,71
Dragon Legends,Carreras,41805,44
Warrior Kingdom,Puzzle,18909,16
Legends Fantasy,Carreras,27816,5
Galaxy Quest,Deportes,46711,17
Dragon Legends,Simulación,8255,90
Quest Heroes,Aventura,55453,95
Fantasy Heroes,Puzzle,29626,95
Warrior Legends,Carreras,23703,83
Legends Kingdom,Deportes,12737,24
Warrior Fantasy,Acción,509,79
Empire Fantasy,Deportes,64126,36
Warrior Empire,RPG,26117,14
Warrior Chronicles,Simulación,69033,43
Dragon Heroes,Simulación,45016,93
Chronicles Empire,Estrategia,6825,64
Chronicles Galaxy,Acción,46543,22
Quest Dragon,Aventura,20611,22
Kingdom Heroes,RPG,66732,5
Galaxy Heroes,Carreras,46456,41
Fantasy Heroes,RPG,26885,6
Legends Chronicles,Puzzle,46898,57
Fantasy Quest,Puzzle,56110,31
Warrior Empire,RPG,9185,28
Fantasy Fantasy,RPG,66273,98
Dragon Galaxy,Carreras,57261,47
Chronicles Empire,Puzzle,61171,41
Chronicles Heroes,Deportes,9164,88
Legends Legends,Simulación,45774,86
Chronicles Empire,Carreras,28087,45
Heroes Quest,Simulación,43301,84
Dragon Heroes,Deportes,632,88
Warrior Kingdom,Acción,26283,19
Chronicles Heroes,Carreras,53689,62
Fantasy Kingdom,Puzzle,19310,48
Empire Legends,Puzzle,31481,92
Chronicles Kingdom,Simulación,61527,22
Quest Empire,Deportes,53417,7
Legends Warrior,Carreras,9702,21
Warrior Fantasy,Simulación,27144,25
Heroes Kingdom,Carreras,55993,30
Fantasy Dragon,Estrategia,8131,54
Empire Dragon,Estrategia,47335,34
Warrior Legends,Puzzle,12608,53
Warrior Empire,Puzzle,39141,79
Warrior Legends,Simulación,68325,42
Heroes Kingdom,Estrategia,33323,43
Dragon Heroes,Deportes,50075,74
Dragon Chronicles,RPG,27711,25
Dragon Warrior,Carreras,34258,31
Legends Legends,Aventura,8312,4
Dragon Chronicles,Aventura,64700,87
Fantasy Heroes,Deportes,8036,12
Fantasy Empire,Deportes,18750,81
Galaxy Quest,Aventura,27402,83
Galaxy Fantasy,RPG,57972,62
Galaxy Quest,Deportes,51894,41
Legends Empire,Simulación,33173,71
Dragon Galaxy,Deportes,67288,16
Galaxy Kingdom,Carreras,10879,90
Chronicles Warrior,Acción,20008,71
Dragon Quest,Aventura,55197,4
Warrior Quest,Simulación,22724,47
Empire Fantasy,Acción,48800,74
Fantasy Heroes,Simulación,42903,67
Legends Heroes,Deportes,49145,15
Legends Galaxy,Acción,26905,39
Legends Galaxy,Deportes,39538,48
Warrior Galaxy,Puzzle,30619,13
Empire Fantasy,Aventura,56992,7
Heroes Fantasy,Deportes,11540,43
Empire Warrior,Carreras,2742,97
Dragon Dragon,Carreras,68198,57
Kingdom Empire,Carreras,43501,94
Kingdom Legends,Estrategia,13717,84
Heroes Legends,Carreras,46002,86
Empire Heroes,RPG,22088,5
Kingdom Quest,Aventura,18383,9
Fantasy Fantasy,Deportes,33292,21
Chronicles Chronicles,Carreras,27002,98
Galaxy Galaxy,Estrategia,38978,52
Legends Chronicles,Acción,49809,15
Warrior Heroes,RPG,48434,43
Dragon Quest,Simulación,30760,58
Legends Galaxy,Deportes,72,96
Empire Kingdom,RPG,18712,83
Dragon Legends,Puzzle,68651,73
Galaxy Legends,Carreras,50970,52
Fantasy Chronicles,Aventura,1677,28
Warrior Fantasy,Aventura,49902,44
Galaxy Quest,RPG,65648,26
Legends Heroes,Carreras,25255,38
Kingdom Galaxy,Aventura,45610,82
Dragon Fantasy,RPG,68360,46
Legends Dragon,Deportes,1511,57
Quest Warrior,RPG,37490,61
Legends Chronicles,Puzzle,31286,27
Galaxy Empire,Carreras,36152,13
Legends Heroes,Deportes,20149,18
Heroes Quest,RPG,60918,67
Quest Warrior,Deportes,10717,59
Empire Legends,Simulación,64597,37
Chronicles Galaxy,Deportes,39144,52
Dragon Dragon,Puzzle,67087,21
Warrior Empire,Simulación,44486,69
Legends Legends,Carreras,65357,59
Empire Heroes,Carreras,15839,31
Heroes Chronicles,Aventura,60781,99
Galaxy Dragon,Simulación,9867,13
Warrior Fantasy,Simulación,53157,8
Heroes Dragon,RPG,11178,77
Quest Kingdom,Simulación,28463,8
Chronicles Quest,RPG,57104,77
Kingdom Dragon,Simulación,52903,3
Legends Quest,RPG,2784,76
Chronicles Chronicles,Aventura,58339,60
Quest Chronicles,Simulación,36845,53
Galaxy Fantasy,Aventura,69058,100
Kingdom Warrior,Estrategia,38086,65
Quest Chronicles,RPG,41990,86
Chronicles Kingdom,RPG,62440,30
Dragon Heroes,Deportes,11335,1
Heroes Galaxy,Carreras,60813,48
Heroes Empire,Deportes,63450,81
Kingdom Dragon,Simulación,14556,34
Galaxy Empire,Deportes,13422,45
Galaxy Empire,Estrategia,14404,11
Kingdom Quest,Estrategia,10514,88
Chronicles Quest,RPG,26884,77
Quest Warrior,Deportes,52977,0
Warrior Galaxy,Acción,4984,66
Kingdom Fantasy,Carreras,35363,54
Legends Empire,Deportes,51679,43
Chronicles Empire,RPG,34066,69
Dragon Warrior,Simulación,64267,5
Galaxy Dragon,Acción,38429,7
Warrior Fantasy,Deportes,21453,30
Chronicles Kingdom,Estrategia,55496,21
Dragon Kingdom,Puzzle,10764,4
Fantasy Quest,Carreras,24519,72
Chronicles Warrior,Acción,41616,68
Galaxy Kingdom,Deportes,12683,12
Kingdom Kingdom,Carreras,23951,96
Quest Dragon,Carreras,61967,42
Chronicles Legends,Estrategia,29769,31
Chronicles Fantasy,Carreras,44410,18
Galaxy Galaxy,Estrategia,60182,27
Dragon Kingdom,Deportes,11367,81
Galaxy Warrior,Aventura,13338,57
Kingdom Dragon,Carreras,9024,95
Dragon Fantasy,Aventura,51305,10
Chronicles Dragon,Acción,22576,53
Warrior Warrior,Carreras,15035,18
Legends Fantasy,Estrategia,63830,59
Galaxy Quest,Acción,63824,26
Legends Quest,RPG,34300,3
Fantasy Kingdom,Carreras,5814,13
Warrior Quest,Puzzle,19287,61
Legends Legends,Acción,14073,36
Warrior Legends,RPG,14982,37
Fantasy Quest,Acción,65792,47
Quest Legends,Carreras,25206,14
Empire Quest,Aventura,49208,10
Warrior Warrior,Acción,49052,84
Warrior Legends,Estrategia,22755,36
Legends Dragon,Estrategia,34804,15
Kingdom Warrior,Aventura,23877,73
Empire Fantasy,RPG,1894,83
Empire Chronicles,Puzzle,26382,5
Warrior Dragon,Simulación,41165,27
Warrior Chronicles,Estrategia,56220,56
Galaxy Empire,Estrategia,46446,7
Dragon Fantasy,Deportes,45233,19
Dragon Galaxy,Aventura,23705,93
Heroes Fantasy,Deportes,67603,91
Galaxy Kingdom,Carreras,258,44
Dragon Heroes,Deportes,36878,56
Empire Quest,Aventura,7295,23
Empire Dragon,Estrategia,1645,68
Kingdom Chronicles,RPG,15516,8
Heroes Legends,RPG,5290,84
Galaxy Chronicles,Acción,25354,20
Dragon Dragon,Acción,42541,26
Galaxy Chronicles,Puzzle,10800,98
Chronicles Dragon,Deportes,67426,84
Quest Kingdom,Carreras,847,52
Galaxy Chronicles,Acción,14430,24
Empire Fantasy,Aventura,9026,80
Legends Empire,Acción,38558,14
Warrior Warrior,Puzzle,104,15
Fantasy Chronicles,Deportes,10567,78
Chronicles Galaxy,Estrategia,44674,18
Kingdom Fantasy,Simulación,57749,63
Chronicles Heroes,Simulación,44013,50
Fantasy Chronicles,Simulación,25988,47
Dragon Quest,Puzzle,21484,89
Legends Heroes,Acción,8583,12
Dragon Warrior,Estrategia,16820,22
Kingdom Warrior,RPG,30810,11
Chronicles Legends,Aventura,3993,60
Chronicles Heroes,Deportes,68629,21
Chronicles Quest,Simulación,13978,49
Heroes Warrior,RPG,58477,15
Legends Quest,Simulación,30647,44
Chronicles Galaxy,Acción,7625,78
Legends Fantasy,Simulación,11549,4
Heroes Legends,Puzzle,41237,82
Warrior Chronicles,Aventura,57290,100
Heroes Galaxy,Puzzle,10941,79
Empire Kingdom,Simulación,40037,25
Heroes Chronicles,Carreras,58884,74
Chronicles Fantasy,Deportes,47487,55
Warrior Chronicles,RPG,9416,5
Quest Dragon,Simulación,2000,60
Chronicles Heroes,Estrategia,18190,75
Legends Chronicles,Puzzle,7914,74
Kingdom Dragon,Estrategia,11933,86
Empire Empire,Aventura,10194,79
Fantasy Galaxy,RPG,14844,15
Dragon Dragon,Carreras,31534,84
Legends Kingdom,Puzzle,31853,77
Galaxy Kingdom,Deportes,63657,4
Fantasy Galaxy,Aventura,58397,50
Dragon Kingdom,Aventura,25327,29
Kingdom Quest,RPG,14149,61
Chronicles Legends,Acción,18280,20
Fantasy Kingdom,Acción,43000,97
Legends Heroes,Deportes,22010,63
Warrior Kingdom,Simulación,4662,9
Quest Dragon,Deportes,15,3
Dragon Empire,Acción,56641,70
Heroes Legends,Deportes,25772,53
Legends Heroes,Puzzle,33573,35
Chronicles Fantasy,Estrategia,48121,8
Heroes Chronicles,Simulación,46872,19
Legends Galaxy,RPG,20478,46
Dragon Galaxy,Acción,55461,65
Galaxy Galaxy,Estrategia,3121,28
Quest Kingdom,RPG,4709,9
Legends Heroes,Carreras,30143,69
Chronicles Heroes,Puzzle,20275,77
Warrior Dragon,Acción,37741,35
Heroes Kingdom,Estrategia,27581,13
Quest Legends,RPG,53909,75
Warrior Warrior,Carreras,30615,18
Kingdom Chronicles,Carreras,37390,61
Chronicles Galaxy,Aventura,46604,15
Heroes Dragon,Carreras,43725,11
Empire Warrior,Simulación,19696,9
Warrior Heroes,Acción,50511,44
Galaxy Galaxy,Estrategia,39137,68
Kingdom Legends,Simulación,44839,42
Galaxy Legends,Deportes,58397,53
Kingdom Dragon,Aventura,42425,31
Fantasy Legends,Aventura,17735,58
Galaxy Fantasy,Simulación,69425,47
Galaxy Warrior,Acción,67554,86
Kingdom Fantasy,Estrategia,27669,67
Legends Kingdom,Carreras,13375,19
Empire Quest,Acción,8416,80
Empire Empire,Simulación,35534,27
Fantasy Chronicles,Carreras,50485,17
Warrior Fantasy,Simulación,7337,32
Empire Warrior,Deportes,57127,81
Galaxy Dragon,Carreras,778,35
Quest Dragon,Estrategia,19481,24
Chronicles Kingdom,Puzzle,41575,20
Fantasy Chronicles,Simulación,48884,61
Chronicles Fantasy,RPG,65691,100
Dragon Fantasy,Simulación,5231,95
Galaxy Fantasy,Estrategia,41254,71
Fantasy Warrior,Deportes,12901,82
Fantasy Chronicles,Deportes,69409,62
Fantasy Kingdom,Simulación,65266,71
Empire Fantasy,Aventura,19810,22
Galaxy Kingdom,Aventura,1779,65
Quest Kingdom,Deportes,58675,81
Quest Kingdom,Aventura,60551,41
Fantasy Fantasy,RPG,23393,100
Chronicles Chronicles,Deportes,40636,90
Kingdom Warrior,Aventura,37120,44
Kingdom Fantasy,Aventura,45212,21
Quest Galaxy,Simulación,17424,47
Chronicles Warrior,Estrategia,20617,6
Warrior Empire,Carreras,35325,40
Legends Fantasy,Deportes,12719,49
Chronicles Dragon,RPG,59503,85
Galaxy Galaxy,Estrategia,45372,61
Fantasy Empire,Estrategia,69165,69
Empire Warrior,RPG,63899,59
Galaxy Legends,Estrategia,59309,44
Galaxy Dragon,Acción,69214,46
Warrior Empire,Acción,34320,56
Fantasy Legends,Acción,11910,18
Galaxy Empire,Acción,62518,11
Warrior Dragon,Estrategia,8969,84
Fantasy Fantasy,Aventura,65808,99
Kingdom Quest,Deportes,318,27
Kingdom Chronicles,Deportes,20972,71
Heroes Quest,Deportes,42896,54
Warrior Kingdom,Aventura,69061,99
Dragon Chronicles,RPG,22648,28
Legends Quest,Aventura,49605,48
Quest Legends,Estrategia,65977,27
Fantasy Fantasy,Estrategia,49326,55
Heroes Chronicles,RPG,53675,3
Chronicles Heroes,RPG,3419,42
Kingdom Heroes,Estrategia,10700,51
Heroes Dragon,Puzzle,394,6
Heroes Legends,Aventura,55081,27
Heroes Empire,RPG,27060,2
Quest Legends,RPG,11245,92
Quest Legends,RPG,49529,44
Chronicles Chronicles,Simulación,49744,44
Galaxy Quest,RPG,11637,76
Galaxy Legends,Carreras,30328,98
Heroes Chronicles,Puzzle,2834,78
Dragon Fantasy,Simulación,55705,52
Empire Kingdom,RPG,62675,86
Galaxy Kingdom,Simulación,45874,9
Warrior Heroes,Estrategia,13755,84
Chronicles Quest,Deportes,38606,39
Empire Galaxy,Aventura,1827,83
Galaxy Galaxy,Aventura,32034,74
Kingdom Quest,Carreras,19029,86
Legends Fantasy,Estrategia,38833,92
Galaxy Warrior,Puzzle,7191,57
Heroes Warrior,Puzzle,41405,93
Chronicles Quest,Simulación,61097,16
Galaxy Empire,Simulación,30494,44
Kingdom Fantasy,Deportes,7137,24
Empire Empire,Simulación,24837,80
Heroes Galaxy,Puzzle,7634,11
Empire Dragon,Acción,65046,60
Kingdom Quest,Acción,43770,63
Warrior Kingdom,Deportes,61932,71
Empire Chronicles,Puzzle,30860,13
Legends Chronicles,Simulación,20883,46
Quest Legends,Puzzle,28668,10
Fantasy Galaxy,Acción,3680,56
Dragon Dragon,Carreras,4657,45
Galaxy Empire,Carreras,25765,95
Legends Legends,Simulación,22819,90
Kingdom Empire,RPG,54123,53
Galaxy Quest,Carreras,39005,74
Galaxy Galaxy,Puzzle,67078,47
Quest Dragon,Deportes,9845,75
Dragon Fantasy,Puzzle,15390,46
Kingdom Fantasy,RPG,664,11
Dragon Empire,Deportes,5406,46
Fantasy Quest,Deportes,7064,10
Dragon Legends,Simulación,30702,19
Warrior Dragon,Carreras,49890,47
Chronicles Quest,Simulación,33783,64
Dragon Kingdom,Puzzle,67778,84
Empire Empire,RPG,9799,86
Empire Heroes,Simulación,23186,56
Warrior Dragon,Estrategia,38272,49
Fantasy Quest,Carreras,66314,78
Heroes Dragon,Puzzle,15998,79
Quest Legends,Simulación,47516,24
Kingdom Quest,Acción,67204,44
Heroes Empire,RPG,13106,41
Fantasy Empire,Puzzle,53146,60
Warrior Chronicles,Deportes,40766,63
Legends Empire,RPG,20413,45
Warrior Quest,RPG,61025,28
Dragon Heroes,RPG,48162,40
Heroes Fantasy,Simulación,21989,12
Fantasy Chronicles,Aventura,35633,25
Warrior Legends,Carreras,67472,77
Galaxy Kingdom,RPG,20514,94
Kingdom Quest,Estrategia,1337,12
Quest Legends,Carreras,13316,7
Legends Galaxy,Simulación,65948,32
Kingdom Chronicles,Acción,52552,0
Warrior Fantasy,Estrategia,46147,2
Galaxy Dragon,Acción,67909,43
Chronicles Heroes,Acción,22453,27
Legends Heroes,Estrategia,65677,62
Galaxy Chronicles,Simulación,14861,85
Warrior Warrior,Estrategia,6419,100
Empire Quest,Estrategia,806,33
Heroes Chronicles,Deportes,11932,48
Warrior Galaxy,Simulación,50255,5
Kingdom Fantasy,RPG,41467,22
Heroes Dragon,Deportes,39208,17
Kingdom Kingdom,Puzzle,53787,46
Empire Heroes,RPG,22442,60
Heroes Heroes,Aventura,59960,19
Fantasy Warrior,Simulación,66674,38
Galaxy Galaxy,Puzzle,7518,19
Chronicles Dragon,RPG,53901,85
Legends Legends,Puzzle,39697,49
Warrior Kingdom,Acción,17149,85
Galaxy Heroes,Acción,39313,0
Legends Galaxy,Acción,30230,33
Galaxy Quest,RPG,42209,17
Kingdom Galaxy,Deportes,9924,91
Heroes Quest,Deportes,29815,65
Empire Legends,Estrategia,33124,80
Fantasy Quest,Acción,26445,62
Dragon Galaxy,Acción,50196,44
Legends Quest,Aventura,28954,40
Dragon Fantasy,Acción,10987,75
Legends Chronicles,Estrategia,61469,30
Galaxy Warrior,Puzzle,7393,50
Warrior Warrior,RPG,18769,20
Heroes Dragon,Acción,10375,18
Fantasy Chronicles,RPG,8794,6
Chronicles Warrior,Carreras,13991,30
Empire Empire,Aventura,26262,35
Heroes Chronicles,Aventura,46968,67
Kingdom Fantasy,Acción,15939,43
Galaxy Galaxy,Aventura,28952,43
Fantasy Dragon,Acción,1097,36
Fantasy Heroes,Estrategia,69186,95
Quest Galaxy,Puzzle,51154,18
Galaxy Dragon,Estrategia,32946,96
Fantasy Chronicles,Deportes,9611,84
Galaxy Empire,Acción,21155,45
Fantasy Warrior,Puzzle,8198,96
Warrior Kingdom,Simulación,17539,12
Fantasy Empire,Aventura,66306,19
Galaxy Legends,Acción,13509,0
Kingdom Kingdom,Deportes,54085,49
Fantasy Kingdom,Acción,22898,12
Heroes Kingdom,Puzzle,18791,18
Legends Warrior,Carreras,28349,87
Legends Fantasy,Simulación,68121,47
Kingdom Chronicles,RPG,57628,27
Empire Warrior,Aventura,45523,18
